,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g.),Chlorophyll (mg/g),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (0=none, 1=browen,2=black)","Int-discolor (0=none,1=browen,2=black)","seed-discolor (0=absent,1= browen, 2=black)","leaves -discolor (0=absent,1=yello,2 =browen)","Stem-cankers (0=absent,1=below-soil,2=above-soil)"
Healthy soybean,40.98,25.06,223.12,89.78,58.68,89.78,18.67,50.82,25.78,374.27,40.36,0,0,0,0,0,0,0,0,0,0
Healthy soybean,109.86,26.23,217.03,98.31,97.97,98.31,13.72,34.8,27.9,227.56,45.04,0,0,0,0,0,0,0,0,0,0
Healthy soybean,51.12,40.95,154.55,51.03,55.15,51.03,19.35,31.05,21.44,390.05,42.22,0,0,0,0,0,0,0,0,0,0
Healthy soybean,57.34,35.49,142,89.66,51.67,89.66,22.54,34.95,27.41,389.57,43.84,0,0,0,0,0,0,0,0,0,0
Healthy soybean,65.86,31.57,162.08,94.87,89.85,94.87,14.94,47.31,21.33,283,49.88,0,0,0,0,0,0,0,0,0,0
Healthy soybean,67.01,29.46,193.28,75.67,75.48,75.67,18.75,35.42,25.08,268.1,49.24,0,0,0,0,0,0,0,0,0,0
Healthy soybean,46.03,22.68,238.9,65.23,69.78,65.23,17.06,48.75,22.91,302.21,49.5,0,0,0,0,0,0,0,0,0,0
Healthy soybean,70.86,28.51,195.68,95.55,76.64,95.55,18.12,45.28,18.42,253.17,34.9,0,0,0,0,0,0,0,0,0,0
Healthy soybean,102.52,25.21,236.92,81.16,94.98,81.16,16.1,41.71,27.37,253,30.23,0,0,0,0,0,0,0,0,0,0
Healthy soybean,66,31.56,221,66.83,68.61,66.83,22.1,43.67,20.14,329.07,38.05,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.74,33.53,186.61,58.43,93.86,58.43,17.38,51.84,20.61,281.18,28.68,0,0,0,0,0,0,0,0,0,0
Healthy soybean,94.32,35.9,178.3,87.39,83,87.39,22.28,46.09,24.73,334.41,34.45,0,0,0,0,0,0,0,0,0,0
Healthy soybean,103.17,33.12,232.79,71.26,90.24,71.26,16.82,40.36,23.16,234,21.33,0,0,0,0,0,0,0,0,0,0
Healthy soybean,43.52,37.25,158.43,87.61,91.69,87.61,18.1,35.13,26.01,404.8,25.02,0,0,0,0,0,0,0,0,0,0
Healthy soybean,43.65,37.21,187.57,83.53,73.1,83.53,15.96,48.54,25.55,246.02,34.67,0,0,0,0,0,0,0,0,0,0
Healthy soybean,47.2,38.4,191.55,51.59,90.42,51.59,19.63,43.13,24.17,372.21,38.03,0,0,0,0,0,0,0,0,0,0
Healthy soybean,105.1,24.92,228,61.07,80.8,61.07,16.11,43.01,21.42,366.58,27.54,0,0,0,0,0,0,0,0,0,0
Healthy soybean,57.92,25.33,195.08,50.77,51.88,50.77,16.62,39.65,18.25,384.43,43.98,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.98,28.36,203.97,90.4,89.59,90.4,16.4,50.66,22.51,249,49.62,0,0,0,0,0,0,0,0,0,0
Healthy soybean,80.01,25.55,204.62,87.56,86.01,87.56,17.77,43.97,25.31,365.98,21.54,0,0,0,0,0,0,0,0,0,0
Healthy soybean,49.98,23.93,176.02,97.4,63.43,97.4,21.9,54.35,27.74,359.17,39.3,0,0,0,0,0,0,0,0,0,0
Healthy soybean,62.82,33.51,143.64,60.29,90.23,60.29,15.82,48.71,26.18,218,33.76,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.38,28.54,208.53,54.54,55.76,54.54,17.98,51.75,19.32,223.76,29.07,0,0,0,0,0,0,0,0,0,0
Healthy soybean,69.32,22.18,237.83,79.09,64.34,79.09,16.54,32.78,27.13,281.45,24.34,0,0,0,0,0,0,0,0,0,0
Healthy soybean,97.66,40.53,167,54.27,58.14,54.27,21.27,34.54,21.68,266.04,26.7,0,0,0,0,0,0,0,0,0,0
Healthy soybean,94.21,38.33,224.84,99.04,54.35,99.04,23.6,51.38,27.32,328.55,35.67,0,0,0,0,0,0,0,0,0,0
Healthy soybean,105.39,39.73,202.81,95.04,66.65,95.04,14.38,33.74,24.86,410.6,26,0,0,0,0,0,0,0,0,0,0
Healthy soybean,100.79,23.9,201,50.76,80.63,50.76,23.3,50,24.39,383.14,39.95,0,0,0,0,0,0,0,0,0,0
Healthy soybean,66.15,38.84,162.72,58.82,81,58.82,18.6,56.54,20.57,365.01,21,0,0,0,0,0,0,0,0,0,0
Healthy soybean,93.2,29.03,232.01,99,95.68,99,16.35,31.68,21.51,317.13,32.93,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.92,27.91,205.22,92.04,60.48,92.04,21.07,39.39,27.34,344.84,48.31,0,0,0,0,0,0,0,0,0,0
Healthy soybean,48.29,26.22,223,65.92,90.12,65.92,16.37,54.62,25.76,269.24,36.55,0,0,0,0,0,0,0,0,0,0
Healthy soybean,53.31,24.74,187.46,55.17,70.92,55.17,17.43,52.1,23.83,301,22.42,0,0,0,0,0,0,0,0,0,0
Healthy soybean,63.99,36.94,212.3,76.2,54.92,76.2,13.19,44.53,24.15,237.98,25.05,0,0,0,0,0,0,0,0,0,0
Healthy soybean,56.43,38.22,221.99,68.94,72.77,68.94,16.72,35.14,23.06,328,24.85,0,0,0,0,0,0,0,0,0,0
Healthy soybean,60.09,40.54,23.51,93.04,57.02,93.04,15.02,49.9,19.1,275.56,29.43,0,0,0,0,0,0,0,0,0,0
Healthy soybean,82.26,33.2,185.48,94.31,60.31,94.31,18.82,54.11,21.06,380,23.38,0,0,0,0,0,0,0,0,0,0
