,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g),Chlorophyll (mg/g),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Dry stem  weight (g),Root fresh weight (g),Root dry weight (g),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Healthy soybean,40.98,25.06,223.12,89.78,58.68,89.78,18.67,50.82,25.78,374.27,40.36,14.25,64.38,24.75,20.83,23.81,20.92,5.92,17.76,17.33,12.42
Healthy soybean,109.86,26.23,217.03,98.31,97.97,98.31,13.72,34.8,27.9,227.56,45.04,11.95,67.85,27.64,12.66,26.1,20.64,4.6,13.04,15.21,18.82
Healthy soybean,51.12,40.95,154.55,51.03,55.15,51.03,19.35,31.05,21.44,390.05,42.22,12.68,51.07,26.88,18.18,21.3,16.61,8.43,17.69,20.03,15.59
Healthy soybean,57.34,35.49,142,89.66,51.67,89.66,22.54,34.95,27.41,389.57,43.84,9.91,82.37,26.2,16.52,30.26,20.4,4.9,12.56,18.8,20.24
Healthy soybean,65.86,31.57,162.08,94.87,89.85,94.87,14.94,47.31,21.33,283,49.88,15.98,64.58,26.65,17.59,22.9,14.52,10.13,10.8,18.15,11.91
Healthy soybean,67.01,29.46,193.28,75.67,75.48,75.67,18.75,35.42,25.08,268.1,49.24,16.54,62.85,27.03,11.56,23.96,11.95,8.7,9.65,21.43,15.78
Healthy soybean,46.03,22.68,238.9,65.23,69.78,65.23,17.06,48.75,22.91,302.21,49.5,7.8,55.28,21.37,20.32,24.65,17.78,7.12,11.96,20.96,11.34
Healthy soybean,70.86,28.51,195.68,95.55,76.64,95.55,18.12,45.28,18.42,253.17,34.9,16.2,62.51,23.29,12.22,27.2,16.48,2.03,10.66,15.39,18.25
Healthy soybean,102.52,25.21,236.92,81.16,94.98,81.16,16.1,41.71,27.37,253,30.23,12.76,78.31,22.26,20.24,30.96,19.47,3.25,18.97,16.14,20.75
Healthy soybean,66,31.56,221,66.83,68.61,66.83,22.1,43.67,20.14,329.07,38.05,15.66,80.36,21.94,20.54,23.7,14.31,7.54,18.84,15.88,17.75
Healthy soybean,60.74,33.53,186.61,58.43,93.86,58.43,17.38,51.84,20.61,281.18,28.68,14.21,61.66,25.22,17.35,24.72,16.94,7.83,13.83,20.42,19.66
Healthy soybean,94.32,35.9,178.3,87.39,83,87.39,22.28,46.09,24.73,334.41,34.45,13.54,98.31,21.51,13.92,26.81,18.04,4.36,14.98,18.07,19.86
Healthy soybean,103.17,33.12,232.79,71.26,90.24,71.26,16.82,40.36,23.16,234,21.33,15.72,72.1,27.75,18.94,26.74,16.33,10.66,10.36,22.23,19.72
Healthy soybean,43.52,37.25,158.43,87.61,91.69,87.61,18.1,35.13,26.01,404.8,25.02,13.19,96.14,25.69,14.72,28.55,15.65,3.58,13.29,16.83,13.05
Healthy soybean,43.65,37.21,187.57,83.53,73.1,83.53,15.96,48.54,25.55,246.02,34.67,15.23,72.76,29.24,17.74,21.65,17.04,2.39,9.97,23.54,17.41
Healthy soybean,47.2,38.4,191.55,51.59,90.42,51.59,19.63,43.13,24.17,372.21,38.03,16.42,82.4,22.82,18.05,28.12,15.82,1.73,15.7,15.25,19.47
Healthy soybean,105.1,24.92,228,61.07,80.8,61.07,16.11,43.01,21.42,366.58,27.54,10.18,90.4,29.19,20.08,21.92,15.1,3.41,12.99,18.13,11.74
Healthy soybean,57.92,25.33,195.08,50.77,51.88,50.77,16.62,39.65,18.25,384.43,43.98,10,63.33,26.05,15.91,26.5,17.82,8.92,9.81,19.72,19.06
Healthy soybean,63.98,28.36,203.97,90.4,89.59,90.4,16.4,50.66,22.51,249,49.62,12.97,89.23,26.9,19,29.66,12.05,3.13,10.95,18.25,14.83
Healthy soybean,80.01,25.55,204.62,87.56,86.01,87.56,17.77,43.97,25.31,365.98,21.54,16.31,90.04,20.11,19.97,28.68,16.38,4.07,12.15,17.34,15.76
Healthy soybean,49.98,23.93,176.02,97.4,63.43,97.4,21.9,54.35,27.74,359.17,39.3,13.44,50.68,29.73,15.76,21.53,14.87,8.89,18.29,22.39,16.18
Healthy soybean,62.82,33.51,143.64,60.29,90.23,60.29,15.82,48.71,26.18,218,33.76,15.02,69.53,26.19,13.38,21.5,14.62,8.38,11.04,20.39,15.55
Healthy soybean,53.38,28.54,208.53,54.54,55.76,54.54,17.98,51.75,19.32,223.76,29.07,13.82,86.46,29,20.95,28.71,13.75,1.36,11.92,14.47,13.75
Healthy soybean,69.32,22.18,237.83,79.09,64.34,79.09,16.54,32.78,27.13,281.45,24.34,10.61,77.28,24.56,15.96,28.41,19.01,5.35,16.09,22.36,18.33
Healthy soybean,97.66,40.53,167,54.27,58.14,54.27,21.27,34.54,21.68,266.04,26.7,14.22,79.52,25.51,19.75,26.18,13.78,10.62,18.13,20.41,20.23
Healthy soybean,94.21,38.33,224.84,99.04,54.35,99.04,23.6,51.38,27.32,328.55,35.67,8.27,93.16,29.71,17.79,28.64,15.64,10,15.26,20.69,16.19
Healthy soybean,105.39,39.73,202.81,95.04,66.65,95.04,14.38,33.74,24.86,410.6,26,16.19,89.78,20.33,15.1,30.69,12.55,8.41,15.38,20.01,17.24
Healthy soybean,100.79,23.9,201,50.76,80.63,50.76,23.3,50,24.39,383.14,39.95,12.73,93.04,22.5,18.97,26.86,13.14,10.65,18.92,22.35,12.86
Healthy soybean,66.15,38.84,162.72,58.82,81,58.82,18.6,56.54,20.57,365.01,21,16.36,91.12,20.21,13.75,24.85,20.03,3.21,16.91,14.31,15.69
Healthy soybean,93.2,29.03,232.01,99,95.68,99,16.35,31.68,21.51,317.13,32.93,13.14,85.77,21.72,11.09,26.47,16.89,5.06,9.23,22.98,16.04
Healthy soybean,63.92,27.91,205.22,92.04,60.48,92.04,21.07,39.39,27.34,344.84,48.31,14.17,58.66,21.73,17.28,25.23,12.39,9.01,9.44,18.73,20.05
Healthy soybean,48.29,26.22,223,65.92,90.12,65.92,16.37,54.62,25.76,269.24,36.55,11.05,63.93,20.78,20.8,25.43,20.86,9.48,12.97,20.25,12.35
Healthy soybean,53.31,24.74,187.46,55.17,70.92,55.17,17.43,52.1,23.83,301,22.42,14.52,88.72,24.78,17.04,22.59,17.17,3.2,11.56,15.58,12.57
Healthy soybean,63.99,36.94,212.3,76.2,54.92,76.2,13.19,44.53,24.15,237.98,25.05,16.12,91.36,27.68,11.77,22.2,16.83,10.36,13.58,18.89,12.5
Healthy soybean,56.43,38.22,221.99,68.94,72.77,68.94,16.72,35.14,23.06,328,24.85,7.43,75.01,25.16,13.96,28.2,12.97,7.65,18.48,14.61,11.11
Healthy soybean,60.09,40.54,230.51,93.04,57.02,93.04,15.02,49.9,19.1,275.56,29.43,8.86,85.69,21.24,15.83,22.95,16.96,6.86,10.1,23.24,14.98
Healthy soybean,82.26,33.2,185.48,94.31,60.31,94.31,18.82,54.11,21.06,380,23.38,7.29,58.16,27.19,19.16,25.21,12.31,8.08,12.06,15,17.06
Healthy soybean,108.02,31.49,144.18,98.24,67.38,98.24,20.3,47.17,18.88,233,34.82,14.68,63.38,24.41,11.16,21.6,11.68,9.32,9.24,20.24,13.35
Healthy soybean,44.18,23.97,194.58,92.05,69.14,92.05,20.14,32.47,20.16,379,38.58,13.41,88.86,24.85,13.4,22.94,17.45,9.91,10.08,23.12,20.88
Healthy soybean,100.7,37.34,181.12,79.7,99.92,79.7,22.85,44.22,20.11,320.23,45.8,13.34,53.27,23.36,18.46,28.87,12.72,2.28,17.62,21.27,11.51
Healthy soybean,64.8,23.31,182.35,95.92,63.26,95.92,19.95,39.11,25.51,337.23,44.99,10.66,65.23,27.21,13.89,23.48,18.03,6.71,16.23,21.71,12.52
Healthy soybean,74.63,33.81,186.6,82.58,59.07,82.58,18.56,30.12,24.53,357,29.14,12.01,94.27,23.97,19.63,27.66,17.53,1.54,17.39,19.9,18.56
Healthy soybean,68,35.84,238.73,88.39,62.87,88.39,15.84,58.84,19.05,332.24,26.17,14.65,67.47,27.95,12.33,29.54,12,4.86,16.5,21.51,11.57
Healthy soybean,96.12,39.25,206.8,59.45,92,59.45,21.06,36.36,25.73,287,30.74,8.26,73.75,28.27,13.15,30.08,18.05,10.05,18.59,21.82,19.28
Healthy soybean,106.38,34.27,164.75,61.42,65.8,61.42,18.22,35,18.33,275.96,44.65,8.35,64.7,23.52,19.99,29.92,19.73,3.67,14.35,18.45,20.39
Healthy soybean,86.38,28.13,179.23,93,73.47,93,20.82,41.89,21.59,375.57,34.01,16.66,99.04,29.82,11.71,22.13,16.54,7.32,17.29,17.21,20.47
Healthy soybean,43.04,30.72,207.41,79,77.46,79,17.88,38.48,27.79,293.9,42.94,11,89.05,22.6,20.58,29.14,16.14,10.15,10.49,23.13,18.47
Healthy soybean,102.45,34.08,168.8,75.2,56.14,75.2,13.95,53.11,27.97,313.05,47.11,8.28,73.52,23.76,14.09,25.55,11.77,5.54,16.81,19.48,12.08
Healthy soybean,103.19,36.6,229.58,73.74,71.29,73.74,16.36,54.97,22.14,360.92,27.64,14.19,85.51,22.88,16.32,24.34,16.26,9.8,16.8,15.81,14.32
Healthy soybean,90.53,28.97,207,51.55,61.42,51.55,13.64,32.31,27.99,397.49,35.78,13.2,58.64,23.34,18.51,30.54,20.73,10.55,9.58,18.53,11.77
Healthy soybean,74.09,22.22,202.56,84.18,53.9,84.18,20.25,47.63,24.89,339,39.02,15.77,79.43,29.9,14.77,28.62,19.05,10.17,15.12,15.77,17.4
Healthy soybean,62.7,33.21,231.64,73.47,60.23,73.47,14.7,50.57,19.01,304.89,23,7.56,82.26,20.55,19.29,27.42,18.59,10.02,11.1,14.12,13
Healthy soybean,61.45,37.18,170.07,52.88,74.66,52.88,18.8,45.39,21.99,220.21,40.75,13.4,58.18,29.36,12.79,25.76,14.48,4.64,10.86,18.18,14.29
Healthy soybean,51.59,38.55,185.52,66.29,87.38,66.29,17.78,33,19.3,252,43.65,8.38,84.41,29.42,20.36,28.3,14.8,4.76,11.53,21.81,17.38
Healthy soybean,78,32.17,219.28,74.81,63.41,74.81,17.02,30.51,26.42,325.23,49.84,7.91,79.82,26.93,14.79,25.56,16.92,3.47,13.98,15.45,19.84
Healthy soybean,83.05,28.85,222.47,78.84,75.7,78.84,20.84,41.48,23.88,233.34,25.84,8.19,71.07,26.25,12.2,29.27,14.25,6.38,10.98,16.39,18.6
Healthy soybean,80.72,30.21,223.1,96.99,99.47,96.99,23.5,38.99,19.74,244,48.72,12.04,51.63,21.42,18.9,24.83,19.39,9.35,14.02,15.19,15.43
Healthy soybean,90.96,25.45,152,57.15,71.26,57.15,19.84,39.69,20.55,398,25.03,12.03,77.71,26.51,20.09,29.59,20.14,5.11,11.15,22.86,17.74
Healthy soybean,53.03,35.97,172.5,89.85,72.61,89.85,20.7,45.75,23.63,391.14,40.96,13.3,92.83,27.76,18.31,29.57,12.84,6.7,12.21,15.93,18.96
Healthy soybean,49.39,28.66,236.32,64.15,77.84,64.15,20.37,33.06,27.5,364.61,50.76,15.27,80.4,22.33,16.17,28.69,20.58,8.93,15.95,18.23,13.88
Healthy soybean,94.89,30.08,227.57,62.56,76.56,62.56,16.74,46.36,22.37,302.37,50,7.37,62.78,28.89,17.34,24.91,17.94,3.1,17.43,18.97,13.09
Healthy soybean,62.57,23.66,208.75,69.53,58,69.53,14.1,56.09,21.6,254,37.11,16.74,94.3,26.08,17.18,21.94,11.71,3.94,15.57,22.65,11.22
Healthy soybean,62.78,29.43,225,75.04,85.08,75.04,22.24,59.57,20.33,363.02,42.93,8.46,80.98,28.81,11.31,21.66,20.65,8.87,14.51,20.49,20.85
Healthy soybean,101.26,27.83,220.03,77.97,82.24,77.97,13.71,45.71,22.94,222,21.95,15.32,95.64,29.28,18.63,26.13,18.62,8.1,18.66,17.49,20.63
Healthy soybean,57.91,34.17,178.07,68.89,60.78,68.89,20.6,53.74,21.53,374.77,41.19,12.52,50.21,24.51,18.78,30.93,15.62,4.8,13.76,20.89,14.54
Healthy soybean,75.56,23.17,226.65,74.83,56.34,74.83,14.4,51.61,18.75,337,24.61,13.8,65.48,21.27,19.84,30.86,11.18,6.78,14.87,18.08,19.09
Healthy soybean,93.09,38.01,171.32,78.6,73.59,78.6,17.08,37.78,19.81,387,22.14,11.23,52.48,20.24,20.15,26.24,20.34,8.64,17.05,14.56,12.09
Healthy soybean,51.25,22.34,161.2,52.56,84.72,52.56,18.23,35.92,27,224.3,50.32,13.74,81.96,23.03,14.76,28.16,15.32,2,13.8,14.15,11.3
Healthy soybean,68.2,24.56,219.63,67.85,56.18,67.85,20.18,55.89,26.79,405.73,49.54,16.25,84.85,28.38,19.36,24.77,16.03,6.77,14.44,14.82,14.08
Healthy soybean,45.79,35.62,202.28,88.08,92.72,88.08,16.06,44.2,19.57,358.53,47.74,7.83,67.51,28.17,19.25,30.32,11.74,8.26,16.52,16.35,17.1
Healthy soybean,94,36.69,207.81,72.5,94.51,72.5,19.47,43.78,18.48,282.91,32.36,9.34,99.11,29.5,13.44,23.2,19.81,4.94,17.03,17.13,15.16
Healthy soybean,82.86,22.2,210.25,82.99,73.16,82.99,13.79,33.21,19.27,263.12,26.74,8.02,73.03,25.76,18.28,28.38,17.24,4.01,12.78,15.29,12.55
Healthy soybean,60.84,25.11,177.01,96.92,68.93,96.92,17.87,30.92,24.28,269.3,24.87,7.42,82,26.94,18.16,29.87,19.95,5.42,9.5,16.44,14.74
Healthy soybean,82.78,35.74,147.14,78,55.83,78,17.56,31.98,19.08,400.85,20.09,16.98,54.55,25.92,20.11,23.89,12.21,8.74,16.78,23.78,20.71
Healthy soybean,87.46,35.45,238.34,60.89,80.48,60.89,19.92,48.59,19,368.5,46.64,8.77,93.48,24,16.96,26.75,11.11,2.45,10.64,22.04,13.01
Healthy soybean,91.83,37.36,213.58,76.78,81.4,76.78,15.91,46.78,18.54,280,31.98,15.38,61.51,28.62,17.64,26.7,12.82,1.37,18.83,17.55,16.27
Healthy soybean,100.66,32.34,228.55,82.91,69.06,82.91,18.86,56.62,23.2,262.48,43.91,8.63,82.54,22.31,15.57,27.95,17.03,2.71,14.96,19.61,16.36
Healthy soybean,109.01,25.35,238.47,63.89,56.31,63.89,16.58,57.82,21.27,373.3,24.67,16.34,54.27,21.74,11.15,24.5,15.85,2.54,16.44,15.87,17.89
Healthy soybean,53,36.68,175.09,65.09,89.96,65.09,15.1,45.35,24.24,222.68,28.02,10.7,85.03,20.43,13.26,21.4,20.98,2.3,9.76,15.86,20.11
Healthy soybean,96.36,30.3,208.21,62.29,77,62.29,15.06,42.6,19.65,251,34.15,13.21,65.55,24.57,15.78,26.98,19.37,9.66,10.62,15.48,11.2
Healthy soybean,51.73,27.54,161.11,75.18,85,75.18,21.61,57.35,27.31,351.98,31.91,11.78,74.83,27.96,16.98,25.3,18.14,9.99,13.96,15.8,12.98
Healthy soybean,73.52,37.31,158.23,97.31,80,97.31,14.13,45.2,18.29,335,26.31,12.67,69.77,20.37,13.88,24.7,11.87,8.95,14.23,17.41,12.48
Healthy soybean,78.83,25.26,219.27,51.9,56.93,51.9,23.01,48.39,24.51,375.99,31.93,13.92,67.07,26.89,17.55,28.91,16.17,8.22,15.81,23.96,12.76
Healthy soybean,83.16,23.4,176.87,57.45,80.81,57.45,19.39,56,25.95,403,43.59,13.31,78.16,23.46,12.93,26.58,18.4,3.46,18.23,19.79,20.46
