,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (microg/mg dry wt),"leaf blight (0=absent,1=present)","Stem blight (0=absent, 1=present)","Root blight (0=absent,1=present)","Chlorosis (0=absent,1=present)","Leaf spot (0=none,1=browen,2=black)","Canker-lesion (1=browen,2=black)","Int-discolor (1=browen,2=black)","seed-discolor (1= browen, 2=black)","leaves -discolor (1=yello,2 =browen)","Stem-cankers (1=below-soil,2=above-soil)"
Infection plant,30.32,13.53,95.98,45.29,27.15,19.76,4.31,20.09,13.88,189.42,20.98,1,1,1,1,2,1,1,1,1,1
Infection plant,36.67,20.08,87.12,28.12,26.37,24.54,8.38,28.27,11.71,206.74,19.26,1,1,1,1,2,1,1,1,1,2
Infection plant,36.07,16.7,135.47,28.13,30.07,17.08,12.49,29.19,12.75,132.37,20.41,1,1,1,1,2,2,1,2,2,2
Infection plant,35.99,14.64,123.92,33.92,47.21,18.65,10.76,28.38,11.74,196.71,20.95,1,1,1,1,2,2,1,2,1,2
Infection plant,34.28,17.33,98.14,28.24,35.43,19.03,12.42,29.84,14.57,123.19,14.45,1,1,1,1,2,2,1,2,2,2
Infection plant,30.36,18.99,122.25,30.68,22.8,24.22,3.1,25.28,17.02,139.79,13.84,1,1,1,1,1,1,1,2,1,1
Infection plant,36.86,12.33,99.93,42.35,49.7,17.23,4.86,14.89,16.78,204.62,17.01,1,1,1,1,1,1,1,2,1,1
Infection plant,32.45,13.41,129.82,35.37,23.91,24.88,7.38,24.1,10.35,121.95,16.99,1,1,1,1,1,2,1,2,1,1
Infection plant,32.4,15.24,126.7,26.19,47.94,23.66,6.19,16.86,12.44,176.24,9.63,1,1,1,1,1,1,2,2,2,2
Infection plant,31.8,13.43,88.9,43.21,25.9,23.91,4.11,16.06,11.27,197.52,20.24,1,1,1,1,2,1,1,1,1,1
Infection plant,30.83,12.21,120.86,44.7,43.05,24.08,12.3,21.27,17.15,155.39,18.97,1,1,1,1,1,2,1,2,2,1
Infection plant,34.85,15.42,137.83,19.24,45.31,23.01,4.66,19,10.7,165.55,12.37,1,1,1,1,1,1,1,1,1,2
Infection plant,35.94,17.19,136,30.01,46.47,25.02,4.4,16.08,9.6,129.32,20.19,1,1,1,1,1,1,1,2,2,2
Infection plant,34.18,21.06,89.57,33.85,28.77,24.59,7.62,23.81,9.51,111.62,15.61,1,1,1,1,2,2,1,2,2,2
Infection plant,36.88,21.73,80.27,37.21,41.4,21.3,5.57,16.74,10.45,186.43,13.05,1,1,1,1,1,1,1,2,2,2
Infection plant,34.3,13.39,121.05,12.94,38.57,16.65,9.1,23.41,8.19,143,16.15,1,1,2,1,1,1,1,1,2,2
Infection plant,33.7,15.37,86.02,40.64,40.82,25.73,7,22.07,14.82,116.04,12.8,1,1,2,1,1,1,2,2,1,1
Infection plant,32.75,15.59,136.86,19.6,33.65,19.29,3.74,27.47,15.18,118.33,18.1,1,1,2,1,1,2,1,2,1,1
Infection plant,38.64,21.92,126.59,44.78,37.45,17.29,3.31,28.06,17.24,183.38,14.94,1,1,1,1,1,1,2,2,1,2
Infection plant,31.9,14.14,83.04,26.09,47.76,24.8,10.95,23.67,12.04,159.92,15.8,1,1,1,1,1,2,1,1,1,1
Infection plant,34.6,20.37,114.18,18.92,49.59,16.42,3.17,16.93,10.14,163.18,18.61,1,1,2,1,1,2,1,1,1,1
Infection plant,36.01,14.46,122.04,13.05,47.78,21.38,12.41,19.18,8.78,181.77,14.3,1,1,1,1,1,1,1,2,1,2
Infection plant,30.8,14.74,134.9,35.25,27.76,21.96,10.94,14.41,10.68,124.7,12.88,1,1,2,1,1,1,2,1,1,1
Infection plant,39.62,12.68,138.86,27.71,31.65,16.11,10.34,15.48,8.09,139.61,20.7,1,1,2,1,1,2,1,1,2,2
Infection plant,39.23,18.83,82.8,42.01,29.99,16.79,4,18.75,9.86,113.82,17.38,1,1,2,1,1,1,2,1,1,2
Infection plant,34.98,19.64,84.97,39.8,28.38,19.11,10.19,16.66,14.46,182.34,11.55,1,1,1,1,1,2,2,2,1,1
Infection plant,31.59,19.23,120.63,49.2,38.12,23.38,3.43,21.82,10.91,172.17,12.04,1,1,2,1,1,1,1,2,2,1
Infection plant,30.46,12.17,100.99,38.72,27.02,19.15,11.62,24.49,17.19,173.59,18.98,1,1,1,1,1,2,2,1,1,1
Infection plant,33.46,19.9,118.11,47.29,44.98,18.57,10.32,21.98,13.48,152.92,20.15,1,1,1,1,1,2,2,2,2,2
Infection plant,39.55,21.55,139.69,3769,21.85,24.55,7.68,23.95,13.04,203.64,18.06,1,1,2,1,1,1,2,1,1,2
Infection plant,39.19,16.56,130.21,22.08,47.82,19.97,6.76,29.16,14.53,161.87,11.32,1,1,1,1,2,2,1,1,1,1
Infection plant,37.98,15.84,113.79,38,34.48,17.22,11.35,29.22,17.71,127.98,16.59,1,1,1,1,1,1,1,2,2,1
Infection plant,30.55,17.64,122.71,32.12,30.47,23.54,9.39,28.87,8.58,200.46,12.24,1,1,1,1,2,2,1,1,1,2
Infection plant,33.52,18.05,98.79,28.3,49.23,17.07,10.4,22.18,12.71,192.59,9.73,1,1,1,1,2,2,1,1,2,1
Infection plant,36.23,20.42,125.92,24.91,40.65,24.74,11.47,18.9,11.35,190.47,9.65,1,1,1,1,1,1,1,2,2,1
Infection plant,38.8,16.44,134.51,12.82,21.61,22.46,9.07,17.08,13.34,182.84,12.85,1,1,1,1,2,1,1,1,1,1
Infection plant,38.04,14.27,133.38,45.06,43.56,18.5,12.86,23.94,15.16,200.56,12.45,1,1,1,1,2,2,1,1,1,1
Infection plant,32.63,13.32,94.54,49.01,29.94,18.02,7.65,18.08,9.61,203.67,18.86,1,1,1,1,2,2,1,2,1,2
Infection plant,38.21,20.97,131.47,10.94,36.57,19.07,9.96,28.63,11.5,112.17,13.52,1,1,1,1,1,1,1,1,2,1
Infection plant,39.64,15.2,108,36.06,37.83,17.14,4.88,15.87,9.41,182.14,11.85,1,1,1,1,1,1,1,1,2,2
Infection plant,31.33,14.97,123.3,39.73,40.99,20.3,9.31,14.3,15,183.77,17.37,1,1,1,1,2,2,1,2,2,1
Infection plant,38.78,13.91,98.94,43.74,29.51,25.7,12.03,29,17.75,144.82,18.02,1,1,1,1,1,2,1,2,2,2
Infection plant,31.75,17.44,109.31,26.15,23.77,21.58,11.89,26.69,17.9,111.29,11.07,1,1,1,1,2,2,1,2,2,1
Infection plant,39.9,16.24,115.85,12.21,31.29,21.77,7.64,26.39,8.34,199.68,12.7,1,1,1,1,1,1,1,1,1,1
Infection plant,38.11,14.11,87.78,28.34,22.46,24.33,7.41,16.63,9.91,131.65,9.74,1,1,1,1,2,1,1,1,2,2
Infection plant,33.72,21.48,133.97,45.22,39.87,18.54,12.92,15.88,15.13,165.72,13.9,1,1,1,1,1,2,1,1,1,1
Infection plant,36.18,14.22,110,26.99,42.78,22.49,12.98,15.99,11.72,153.59,12.25,1,1,1,1,2,2,1,1,2,2
Infection plant,34.7,12.07,114.31,13.12,25.2,21.41,11.95,14.39,17.28,112,14.09,1,1,1,1,1,1,1,2,2,1
Infection plant,39.82,18.49,103.28,29.44,37.49,16.67,6.1,24.97,15.27,177.97,9.91,1,1,1,1,2,1,1,1,1,2
Infection plant,33.18,15.39,124.93,19.11,38.96,17.8,7.15,14.45,13.21,110,12.84,1,1,1,1,2,2,1,2,1,1
Infection plant,35.41,20.52,98.52,39.52,49.22,21.99,11.99,19.31,16.96,196.39,9.35,1,1,1,1,2,1,1,1,1,1
Infection plant,35.34,13.54,93.95,15.64,38.03,18.35,4.56,14.4,10.02,183.37,10.78,1,1,1,1,1,2,1,1,2,2
Infection plant,34.57,20.48,114.93,33.59,23.39,21.15,7.7,16.37,10.78,160.15,10.23,1,1,1,1,2,1,1,2,1,2
Infection plant,38.79,19.76,109.54,44.06,49.67,24.76,10.7,15.04,12.47,161.6,9.07,1,1,1,1,2,1,1,2,1,1
Infection plant,36.16,17.65,124.8,46.45,24.22,17.66,9.21,14.77,9.27,143.17,17.14,1,1,1,1,2,1,1,1,2,1
Infection plant,30.22,12.09,115.35,29.57,23.92,20.21,12.08,14.32,15.4,142.23,19.89,1,1,1,1,2,1,1,2,1,2
Infection plant,36.38,21.4,129,21.05,36.72,20.97,11.76,28.85,8.15,126.86,10.59,1,1,1,1,1,2,1,1,2,1
Infection plant,37.94,14.61,110.09,20.5,30.12,23.32,8.34,16.16,12.6,134.25,15.81,1,1,1,1,1,2,1,1,1,1
Infection plant,32.05,14.84,91.39,36.47,33.56,21.29,7.99,29.11,16.72,121.53,10.97,1,1,1,1,1,2,1,2,1,2
Infection plant,31.88,15.56,124.6,19.26,37.1,18.2,4.36,27.02,13.45,147.41,13.15,1,1,1,1,2,2,1,2,2,2
Infection plant,31.56,17.68,94.68,31.64,31.84,24.87,6.68,18.3,9.73,196.51,19.82,1,1,1,1,2,1,1,1,2,2
Infection plant,39.24,14.65,137.77,12.4,38.8,22.48,6.77,14.35,14.42,157.33,13.37,1,1,1,1,1,2,1,1,2,1
Infection plant,31.85,14.16,132.68,36.68,32.11,18.89,4.94,23.09,15.61,169.26,15.41,1,1,1,1,2,2,1,1,1,2
Infection plant,39.73,12.19,97.11,28.5,20.75,25.63,10.06,15.13,16.69,150.83,15.98,1,1,1,1,1,2,1,1,1,2
Infection plant,33.65,19.79,93.79,41.05,41.58,20.06,5.78,14.91,17.08,187,12.08,1,1,1,1,2,1,1,2,2,2
Infection plant,38.45,14.9,103.3,18.05,36.3,21.28,9.3,29.88,12.53,126.98,18.55,1,1,1,1,2,2,1,1,2,1
Infection plant,30.05,19.95,125.7,36.23,37.85,19.04,7.13,26.08,12.2,152,13.85,1,1,1,1,1,1,1,1,1,2
Infection plant,32.65,21.9,102.27,28.58,28.46,18.08,11.41,21.99,12.96,191.92,10.54,1,1,1,1,1,1,1,2,2,2
Infection plant,38.31,18.35,128.55,37.01,49.81,22.86,11.59,19.66,16.5,148.76,11.79,1,1,1,1,2,2,1,2,1,1
Infection plant,33.95,21.05,81.51,13.86,47.47,19.8,8.92,17.19,11.2,121.32,20.68,1,1,1,1,2,1,1,2,2,2
Infection plant,38.4,19.83,89.6,35.92,23.82,20.95,10.43,14.62,15.33,127.73,18.87,1,1,1,1,1,2,1,2,1,1
Infection plant,39.63,12.29,82.4,17.58,34.51,25.49,5.75,21.61,15.79,159.06,13.14,1,1,1,1,1,1,1,2,1,2
Infection plant,32.98,18.31,128.88,20.92,47.34,16.54,11.85,18.83,10.76,191.11,16.25,1,1,1,1,2,2,1,2,1,2
Infection plant,34.45,13.92,101.87,27.44,49.02,23.04,12.57,24.31,15.28,182.09,13.5,1,1,1,1,1,2,1,1,1,1
Infection plant,31.23,18.26,107.95,34.53,39.09,25.85,11.93,24.18,14.54,136.18,15.66,1,1,1,1,1,2,1,2,1,1
Infection plant,37.2,19.53,92,45.71,29.83,24.03,8.55,29.6,11.26,146.64,12.23,1,1,1,1,1,2,1,1,1,1
Infection plant,32.15,19.88,137.76,49.71,26.61,21.37,4.47,27.3,12.69,142.93,14.92,1,1,1,1,2,1,1,1,2,2
Infection plant,34,20.9,88.57,25.98,46.76,23.57,7.47,25.85,9.93,205.36,14.07,1,1,1,1,2,1,1,2,1,1
Infection plant,34.03,20.91,120.66,3577,39,17.36,6.18,26.02,14.45,168.99,12.32,1,1,1,1,1,2,1,2,2,2
Infection plant,38.75,20.05,118.95,29.76,49.83,24.65,5.56,28.36,11.94,174.3,20.53,1,1,1,1,2,1,1,1,2,2
