,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,30.32,13.53,95.98,45.29,27.15,19.76,4.31,20.09,13.88,189.42,20.98,18.58,25.44,12.02,9.91,17.83,7.54,40.13,40.56,11.87,4.03
Infection plant,36.67,20.08,87.12,28.12,26.37,24.54,8.38,28.27,11.71,206.74,19.26,26.96,19.3,19.05,1.78,20.27,5.44,49.24,68.02,13.02,9.4
Infection plant,36.07,16.7,135.47,28.13,30.07,17.08,12.49,29.19,12.75,132.37,8.41,18.6,39.64,16.15,3.5,13.24,2.82,46.92,54.19,5.04,6.6
Infection plant,35.99,14.64,123.92,33.92,47.21,18.65,10.76,28.38,11.74,196.71,8.95,23.42,36.07,13.61,4.43,14.19,2.89,59.05,24.59,5.61,9.46
Infection plant,34.28,17.33,98.14,28.24,35.43,19.03,12.42,29.84,14.57,123.19,14.45,24.4,46.27,16.44,8.31,20.3,10.21,45.67,20.73,8.92,6.61
Infection plant,30.36,18.99,122.25,30.68,22.8,24.22,3.1,25.28,17.02,139.79,13.84,26.39,49.82,14.01,1.06,18.18,4.41,81.5,28.67,10.18,5.73
Infection plant,36.86,12.33,99.93,42.35,49.7,17.23,4.86,14.89,16.78,204.62,17.01,25.47,49.52,15.28,10.45,17.84,10.99,54.03,71.04,12.57,2.28
Infection plant,32.45,13.41,129.82,35.37,23.91,24.88,7.38,24.1,10.35,121.95,16.99,18.47,33.12,19.89,2.27,15.53,5.51,36.41,36.36,10.45,4.91
Infection plant,32.4,15.24,126.7,26.19,47.94,23.66,6.19,16.86,12.44,176.24,9.63,18.08,33.92,16.56,9.9,11.62,3,94.34,56.35,6.56,9.31
Infection plant,31.8,13.43,88.9,43.21,25.9,23.91,4.11,16.06,11.27,197.52,8.24,20.48,27.18,12.09,1.19,14.18,6.52,12.68,30.63,13.92,7.07
Infection plant,30.83,12.21,120.86,44.7,43.05,24.08,12.3,21.27,17.15,155.39,18.97,19.41,19.08,15.65,7.64,16.9,7.3,18.04,94.62,8.13,10.56
Infection plant,34.85,15.42,137.83,19.24,45.31,23.01,4.66,19,10.7,165.55,12.37,20.99,18.84,16.62,10.87,20.24,2.43,79.89,72.75,12.9,1.71
Infection plant,35.94,17.19,136,30.01,46.47,25.02,4.4,16.08,9.6,129.32,8.19,26.34,16.75,18.1,5.52,14.46,2.13,77.12,39.24,4.58,3.11
Infection plant,34.18,21.06,89.57,33.85,28.77,24.59,7.62,23.81,9.51,111.62,15.61,20.44,15.24,14.13,3.3,18.33,1.32,31.68,80.58,8.68,10.64
Infection plant,36.88,21.73,80.27,37.21,41.4,21.3,5.57,16.74,10.45,186.43,13.05,17.03,48.36,11.97,8.41,11.21,5.65,60.86,54.22,7.55,9.97
Infection plant,34.3,13.39,121.05,12.94,38.57,16.65,9.1,23.41,8.19,143,16.15,26.26,18.1,10.63,2.4,12.83,6.6,86.35,61.59,10.64,6.9
Infection plant,33.7,15.37,86.02,40.64,40.82,25.73,7,22.07,14.82,116.04,12.8,25.21,15,19.11,3.78,19.9,5.53,99.67,64.98,11.41,10.45
Infection plant,32.75,15.59,136.86,19.6,33.65,19.29,3.74,27.47,15.18,118.33,18.1,24.89,14.44,18.81,5.91,15.63,5.13,55.52,54.63,13.43,7.17
Infection plant,38.64,21.92,126.59,44.78,37.45,17.29,3.31,28.06,17.24,183.38,14.94,22.42,37.52,17.94,2.65,19.88,3.72,17,62.17,8.88,8.25
Infection plant,31.9,14.14,83.04,26.09,47.76,24.8,10.95,23.67,12.04,159.92,15.8,21.32,15.45,10.64,2.73,12.07,9.77,88.18,44.8,8.02,3.03
